SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.8,20.55,24,1,8,17
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.5,29.55,28,1,7,0
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.0,32.45,27,2,6,15
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.5,5.25,4,2,3,23
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Made Shot,True,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,13.55,24,2,2,29
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.3,30.55,25,2,1,43
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.4,24.55,25,3,8,46
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,6.95,1,3,8,4
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.2,37.55,32,3,7,12
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.3,7.05,15,3,6,30
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,4.35,23,3,5,58
2024,2023-24,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,11-03-2023,22300005,OKC,GSW,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.5,22.85,25,3,5,16
